TransactionID,InvestorID,FundID,TransactionDate,TransactionType,Units,NAV,Amount
TXN001,INV001,F101,2026-01-01,Buy,100,24.50,2450.00
TXN002,INV002,F102,2026-01-01,Buy,200,18.75,3750.00
TXN003,INV003,F103,2026-01-01,Buy,50,42.10,2105.00
TXN004,INV004,F104,2026-01-01,Buy,80,31.80,2544.00
TXN005,INV005,F105,2026-01-01,Buy,60,56.25,3375.00
TXN006,INV006,F101,2026-01-02,Buy,120,24.62,2954.40
TXN007,INV007,F102,2026-01-02,Sell,100,18.82,1882.00
TXN008,INV008,F103,2026-01-02,Buy,75,42.25,3168.75
TXN009,INV009,F104,2026-01-02,Buy,90,31.95,2875.50
TXN010,INV010,F105,2026-01-02,Sell,40,56.40,2256.00
TXN011,INV001,F102,2026-01-03,Buy,150,18.90,2835.00
TXN012,INV002,F103,2026-01-03,Buy,80,42.30,3384.00
TXN013,INV003,F104,2026-01-03,Sell,40,32.05,1282.00
TXN014,INV004,F105,2026-01-03,Buy,70,56.55,3958.50
TXN015,INV005,F101,2026-01-03,Sell,60,24.71,1482.60
TXN016,INV006,F102,2026-01-04,Buy,110,18.86,2074.60
TXN017,INV007,F103,2026-01-04,Buy,90,42.18,3796.20
TXN018,INV008,F104,2026-01-04,Sell,50,31.98,1599.00
TXN019,INV009,F105,2026-01-04,Buy,100,56.48,5648.00
TXN020,INV010,F101,2026-01-04,Buy,75,24.68,1851.00
TXN021,INV001,F103,2026-01-05,Buy,60,42.45,2547.00
TXN022,INV002,F104,2026-01-05,Sell,30,32.20,966.00
TXN023,INV003,F105,2026-01-05,Buy,90,56.70,5103.00
TXN024,INV004,F101,2026-01-05,Buy,130,24.80,3224.00
TXN025,INV005,F102,2026-01-05,Sell,80,19.01,1520.80
TXN026,INV006,F103,2026-01-06,Buy,120,42.60,5112.00
TXN027,INV007,F104,2026-01-06,Buy,55,32.35,1779.25
TXN028,INV008,F105,2026-01-06,Sell,45,56.95,2562.75
TXN029,INV009,F101,2026-01-06,Buy,95,24.95,2370.25
TXN030,INV010,F102,2026-01-06,Buy,150,19.10,2865.00
TXN031,INV001,F104,2026-01-07,Buy,85,32.48,2760.80
TXN032,INV002,F105,2026-01-07,Buy,70,57.12,3998.40
TXN033,INV003,F101,2026-01-07,Sell,100,25.02,2502.00
TXN034,INV004,F102,2026-01-07,Buy,200,19.18,3836.00
TXN035,INV005,F103,2026-01-07,Buy,60,42.78,2566.80
TXN036,INV006,F104,2026-01-08,Sell,40,32.60,1304.00
TXN037,INV007,F105,2026-01-08,Buy,90,57.05,5134.50
TXN038,INV008,F101,2026-01-08,Buy,110,24.98,2747.80
TXN039,INV009,F102,2026-01-08,Sell,70,19.24,1346.80
TXN040,INV010,F103,2026-01-08,Buy,100,42.85,4285.00
TXN041,INV001,F105,2026-01-09,Buy,80,57.30,4584.00
TXN042,INV002,F101,2026-01-09,Sell,65,25.15,1634.75
TXN043,INV003,F102,2026-01-09,Buy,120,19.31,2317.20
TXN044,INV004,F103,2026-01-09,Buy,75,42.95,3221.25
TXN045,INV005,F104,2026-01-09,Sell,55,32.72,1799.60
TXN046,INV006,F105,2026-01-10,Buy,100,57.48,5748.00
TXN047,INV007,F101,2026-01-10,Buy,90,25.22,2269.80
TXN048,INV008,F102,2026-01-10,Sell,60,19.40,1164.00
TXN049,INV009,F103,2026-01-10,Buy,140,43.05,6027.00
TXN050,INV010,F104,2026-01-10,Buy,85,32.88,2794.80