CustomerID,CreditScore
101,780
102,590
103,720
104,810
105,665
106,745
107,690
108,540
109,610
110,835
111,770
112,680
113,720
114,640
115,805
116,580
117,695
118,750
119,620
120,880
121,710
122,765
123,690
124,560
125,730
126,845
127,655
128,600
129,775
130,820
131,700
132,740
133,615
134,685
135,795
136,570
137,735
138,660
139,810
140,590
141,725
142,670
143,780
144,625
145,690
146,840
147,705
148,555
149,760
150,815
151,645
152,720
153,675
154,790
155,610
156,700
157,860
158,595
159,740
160,690
161,820
162,635
163,710
164,670
165,780
166,605
167,725
168,850
169,655
170,600
171,770
172,735
173,690
174,565
175,805
176,620
177,745
178,680
179,790
180,610
181,700
182,840
183,655
184,725
185,585
186,770
187,810
188,640
189,695
190,730
191,860
192,605
193,715
194,680
195,790
196,620
197,740
198,660
199,825
200,575