TransactionID,InvestorID,FundID,UnitsPurchased,PurchaseNAV,PurchaseDate
T101,I101,F101,150,25.50,2024-01-10
T102,I102,F102,200,32.75,2024-01-12
T103,I103,F103,120,41.20,2024-01-15
T104,I104,F104,300,28.60,2024-01-18
T105,I105,F105,250,35.80,2024-01-20
T106,I106,F106,500,22.40,2024-01-22
T107,I107,F107,175,48.90,2024-01-25
T108,I108,F108,400,30.25,2024-01-28
T109,I109,F109,275,55.60,2024-02-01
T110,I110,F110,150,60.80,2024-02-05
T111,I111,F101,325,26.15,2024-02-08
T112,I112,F102,180,33.40,2024-02-12
T113,I113,F103,220,42.10,2024-02-15
T114,I114,F104,275,29.75,2024-02-18
T115,I115,F105,350,36.90,2024-02-22
T116,I116,F106,450,23.80,2024-02-25
T117,I117,F107,125,49.30,2024-03-01
T118,I118,F108,600,31.50,2024-03-05
T119,I119,F109,240,56.20,2024-03-08
T120,I120,F110,310,61.40,2024-03-12
T121,I121,F101,200,27.10,2024-03-15
T122,I122,F102,450,34.25,2024-03-18
T123,I123,F103,375,43.50,2024-03-22
T124,I124,F104,150,30.10,2024-03-25
T125,I125,F105,525,37.45,2024-03-28
T126,I126,F106,100,24.20,2024-04-01
T127,I127,F107,260,50.15,2024-04-05
T128,I128,F108,700,32.60,2024-04-08
T129,I129,F109,185,57.00,2024-04-12
T130,I130,F110,330,62.50,2024-04-15
T131,I131,F101,275,27.85,2024-04-18
T132,I132,F102,390,35.10,2024-04-22
T133,I133,F103,500,44.20,2024-04-25
T134,I134,F104,225,30.80,2024-05-01
T135,I135,F105,180,38.10,2024-05-04
T136,I136,F106,650,24.90,2024-05-08
T137,I137,F107,410,51.00,2024-05-12
T138,I138,F108,300,33.25,2024-05-15
T139,I139,F109,550,58.40,2024-05-18
T140,I140,F110,275,63.10,2024-05-22
T141,I141,F101,125,28.40,2024-05-25
T142,I142,F102,480,35.75,2024-06-01
T143,I143,F103,260,45.00,2024-06-05
T144,I144,F104,150,31.20,2024-06-08
T145,I145,F105,350,38.80,2024-06-12
T146,I146,F106,720,25.30,2024-06-15
T147,I147,F107,180,52.10,2024-06-18
T148,I148,F108,410,34.40,2024-06-22
T149,I149,F109,290,59.20,2024-06-25
T150,I150,F110,500,64.00,2024-06-30					
					